sentiment,text
Neutrale,Su queste cose occorre essere spietati..la sanzione è anche bassa in relazione alla facilità dell arricchimento usando la beneficenza.
Neutrale,La beneficenza fatela al vostro vicino.....brevi manu
Neutrale,Spero che  la sanzione vada in beneficenza…
Contro Chiara Ferragni,Brava furbetta gesto basso
Felice,Finalmente!!
Contro Chiara Ferragni,"Alla faccia della solidarietà,  la sua..."
Contro Chiara Ferragni,Alla faccia della beneficenza.  Complementoni cari Ferragnez
Felice,Brava Chiara e tutti i suoi seguaci
Felice,Sarà  sicuramente riassunta per i prossimi spot!!!😉
Contro Chiara Ferragni,Pessimo esempio...l'ho sempre detto
Neutrale,Bella gente
Felice,👏👏👏👏👏👏bravi!!
Felice,Complimenti
Felice,Bella persona
Neutrale,Beata subito 😂
Neutrale,Capito la compagnuccia!🖤🇮🇹🖤
Neutrale,🤘🤷‍♂️
Felice,Evviva !
Felice,Benissimo!
Contro Chiara Ferragni,Bene giù duro!
Felice,Che bella persona
Neutrale,Briciole
Felice,👏👏👏👏👏👏👍🏆🎯
Felice,😘 Subito
Neutrale,Oh yeah.
Pro Chiara Ferragni,Bazzecole per lei
Neutrale,"La colpa non è la sua, ma....da chi gli và dietro"
Neutrale,"Truffa tutta targata Made in Italy .
Peccato … doveva essere più alta la sanzione"
Neutrale,Grande donna ma i miei più sentiti complimenti
Neutrale,Di 32 che lei ce n'ha🎶 a be' si be'.... povero re 🎶🎶🎶 e povero anche il balocco 🎶
Neutrale,Che Stile
Neutrale,Azz … la notizia mi rattrista molto!
Neutrale,Amen
Felice,Godo molto
Felice,👍
Neutrale,Speriamo
Neutrale,"Le donazioni, se volete farle, guardatevi vicino a voi.....sicuramente c'è a chi puoi farla direttamente a un bisognoso."
Neutrale,Che la sanzione venga devoluta all'ospedale Regina Margherita
Neutrale,Finalmente si inizia a indagare sulla falsa beneficenza..... Spero che non si fermano solo alla prima 👍👍
Neutrale,Il problema non è la Ferragni ma chi la segue
Neutrale,Non penso sia un problema per lei
Neutrale,Vediamo se questo le fa cambiare la solita espressione della faccia!
Felice,Ottimo direi🤣
Neutrale,Pensati Libera 🙄
Contro Chiara Ferragni,Truffaldina digitale...
Felice,Lei regala dei bei Panettoni all ' Italia.....
Neutrale,Furbetta furbettina.
Neutrale,Chiara Ferragni ✊✊💵💵💵💵💵💵
Neutrale,Commentare i ferragnez...é come portare le carrube agli asini!
Neutrale,eppure c'è gente che crede a questi signori .
Neutrale,Tanti auguri di natale
Pro Chiara Ferragni,Santa Chiara!
Neutrale,Si vede dalla faccia...
Neutrale,Il Mondo del Nulla
Non Classificato,Godo!
Neutrale,Ora non sarebbe male se la conseguente sanzione fosse data pure in beneficenza...
Contro Chiara Ferragni,Facile fare la beneficenza coi soldi degli altri
Contro Chiara Ferragni,Sarebbe ora che la ferragni  pagasse!!!
Contro Chiara Ferragni,Chiara ! Datti una CALMATA!!! ✋🏼
Contro Chiara Ferragni,Poverina!!! Ma è sempre quella che col suo degno compare/marito va a fare beneficenza in Maserati ai poveri senza tetto.  Che bravi!!! Come sono buoni!!!
Contro Chiara Ferragni,Che scandalo poi insieme a suo marito ci fanno la morale
Neutrale,Ma daiiiiii non è giusto multare certe personalità.
Neutrale,Se è vero è vergognoso e non è la prima volta.
Neutrale,Giusto paghi
Neutrale,Pensati libera 🤣
Neutrale,E la Lucarelli lo aveva messo già in discussione questa storia esattamente 1 anno fa e vennero giù valanghe di insulti! Ora finalmente viene allo scoperto tutto!!
Felice,Almeno lei fa beneficenza cit.
Neutrale,Pochi !
Neutrale,Finirà tutto a panettone e vino 🍷
Neutrale,Prima o poi i nodi vengono al pettine...
Neutrale,Adesso paghi .....
Contro Chiara Ferragni,"Per lei ed il compagno è acqua fresca…
Grazie a quegli idioti che le vanno dietro..!!!"
Neutrale,Arresto immediato
Contro Chiara Ferragni,Ahbravaaaa🤮🤬
Contro Chiara Ferragni,Che schifo questo mondo !!!! Quando si arriva ha fare cose sporche anzi sporchissime sulla salute che è la cosa più importante questa gentaglia può arrivare ha tutto  !!!! Gente di 💩💩💩💩 non mi fanno pena ma semplicemente schifoooooo giocare con la vita degli altri mentre lottano con malattie !!! Di chiaro la Chiara lei e il marito non ha nienteeeeee speriamo che pagano veramente !!!! Vergogna c'è gente che fa fatica ha vivere nonostante tutto ma rimane pulita .
