"attachments/0/style_list/0","attachments/0/style_list/1","attachments/0/style_list/2","attachments/0/style_list/3","attachments/0/style_list/4","commentUrl","commentsCount","date","facebookId","facebookUrl","feedbackId","id","likesCount","pageAdLibrary/id","pageAdLibrary/is_business_page_active","postTitle","profileId","profileName","profilePicture","profileUrl","text"
"share","fallback",,,,"https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl?comment_id=820055676561280",,"2023-12-15T08:49:04.000Z","760029832834644","https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl","ZmVlZGJhY2s6NzYwMDI5ODMyODM0NjQ0XzgyMDA1NTY3NjU2MTI4MA==","Y29tbWVudDo3NjAwMjk4MzI4MzQ2NDRfODIwMDU1Njc2NTYxMjgw","4","323950777458","false","Chiara Ferragni e le sue società hanno ricevuto una sanzione complessiva di oltre un milione di euro dall'Antitrust in relazione all'affare ""Balocco"". Le società Fenice e TBS Crew, gestori dei marchi dell'influencer, sono state multate rispettivamente per 400 mila euro e 675 mila euro, mentre Balocco Industria Dolciaria ha ricevuto una multa di 420 mila euro.

L'accusa riguarda una pratica commerciale scorretta legata alla pubblicità del Pandoro Pink Christmas, associato a Chiara Ferragni, che ha erroneamente suggerito ai consumatori che l'acquisto avrebbe contribuito a una donazione all'Ospedale Regina Margherita di Torino, quando in realtà la donazione era stata effettuata precedentemente e non era legata alle vendite effettive del prodotto.

Leggi l'articolo su #IlGiornale nel primo commento ⬇️

#Ferragni #Balocco #Antitrust #pandoro","100064829017156","Il Giornale","https://scontent-dfw5-2.xx.fbcdn.net/v/t39.30808-1/336897749_246273554544823_6928032214221910950_n.png?stp=cp0_dst-png_p32x32&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=HDUztDl2pV4Ab5kWTHy&_nc_ht=scontent-dfw5-2.xx&oh=00_AfBkmOWIvj6Emsg-ya1GzcVX9fCyUo0Xu-Q-Ls9-79nlmg&oe=662162A5","https://www.facebook.com/ilGiornale","L'articolo ⬇️
https://cstu.io/a7c649"
,,,,,"https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl?comment_id=336963009088281","1","2023-12-15T10:11:20.000Z","760029832834644","https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl","ZmVlZGJhY2s6NzYwMDI5ODMyODM0NjQ0XzMzNjk2MzAwOTA4ODI4MQ==","Y29tbWVudDo3NjAwMjk4MzI4MzQ2NDRfMzM2OTYzMDA5MDg4Mjgx","125","323950777458","false","Chiara Ferragni e le sue società hanno ricevuto una sanzione complessiva di oltre un milione di euro dall'Antitrust in relazione all'affare ""Balocco"". Le società Fenice e TBS Crew, gestori dei marchi dell'influencer, sono state multate rispettivamente per 400 mila euro e 675 mila euro, mentre Balocco Industria Dolciaria ha ricevuto una multa di 420 mila euro.

L'accusa riguarda una pratica commerciale scorretta legata alla pubblicità del Pandoro Pink Christmas, associato a Chiara Ferragni, che ha erroneamente suggerito ai consumatori che l'acquisto avrebbe contribuito a una donazione all'Ospedale Regina Margherita di Torino, quando in realtà la donazione era stata effettuata precedentemente e non era legata alle vendite effettive del prodotto.

Leggi l'articolo su #IlGiornale nel primo commento ⬇️

#Ferragni #Balocco #Antitrust #pandoro","pfbid038A1SbyQuPG6PZnsr4LNwabfL4yUJoD6PXW3EydTjydh21BcgVoyayedqgGDyqx21l","Sergio Solinas","https://scontent-dfw5-1.xx.fbcdn.net/v/t1.18169-1/15741296_165678567246048_818133892092590093_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=EYItJjlLNEYAb60MJOf&_nc_ht=scontent-dfw5-1.xx&oh=00_AfBZPrgrjs_SSJz9H5tUafj1fli8UtxGZATv5EvDRmEdUw&oe=6643110F",,"Su queste cose occorre essere spietati..la sanzione è anche bassa in relazione alla facilità dell arricchimento usando la beneficenza."
,,,,,"https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl?comment_id=1587205098686517",,"2023-12-15T13:33:26.000Z","760029832834644","https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl","ZmVlZGJhY2s6NzYwMDI5ODMyODM0NjQ0XzE1ODcyMDUwOTg2ODY1MTc=","Y29tbWVudDo3NjAwMjk4MzI4MzQ2NDRfMTU4NzIwNTA5ODY4NjUxNw==","8","323950777458","false","Chiara Ferragni e le sue società hanno ricevuto una sanzione complessiva di oltre un milione di euro dall'Antitrust in relazione all'affare ""Balocco"". Le società Fenice e TBS Crew, gestori dei marchi dell'influencer, sono state multate rispettivamente per 400 mila euro e 675 mila euro, mentre Balocco Industria Dolciaria ha ricevuto una multa di 420 mila euro.

L'accusa riguarda una pratica commerciale scorretta legata alla pubblicità del Pandoro Pink Christmas, associato a Chiara Ferragni, che ha erroneamente suggerito ai consumatori che l'acquisto avrebbe contribuito a una donazione all'Ospedale Regina Margherita di Torino, quando in realtà la donazione era stata effettuata precedentemente e non era legata alle vendite effettive del prodotto.

Leggi l'articolo su #IlGiornale nel primo commento ⬇️

#Ferragni #Balocco #Antitrust #pandoro","pfbid02D6FRqd7TuvSTMoanRPHMXmhMZm7FW9oMCK3bzcSLrZE7mKnGYxb681pXkhi6rK6Ul","Maman Luise","https://scontent-dfw5-2.xx.fbcdn.net/v/t1.18169-1/25270_103313319708237_5057672_n.jpg?stp=c0.0.32.32a_cp0_dst-jpg_p32x32&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Hx-Gcn8CYwcAb75U_jM&_nc_ht=scontent-dfw5-2.xx&oh=00_AfDykdKiTXPA9vobpqI02UC4hS5heBTvWlczMWxgiziymQ&oe=66430855",,"La beneficenza fatela al vostro vicino.....brevi manu"
,,,,,"https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl?comment_id=685822540359004",,"2023-12-16T12:43:46.000Z","760029832834644","https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl","ZmVlZGJhY2s6NzYwMDI5ODMyODM0NjQ0XzY4NTgyMjU0MDM1OTAwNA==","Y29tbWVudDo3NjAwMjk4MzI4MzQ2NDRfNjg1ODIyNTQwMzU5MDA0","9","323950777458","false","Chiara Ferragni e le sue società hanno ricevuto una sanzione complessiva di oltre un milione di euro dall'Antitrust in relazione all'affare ""Balocco"". Le società Fenice e TBS Crew, gestori dei marchi dell'influencer, sono state multate rispettivamente per 400 mila euro e 675 mila euro, mentre Balocco Industria Dolciaria ha ricevuto una multa di 420 mila euro.

L'accusa riguarda una pratica commerciale scorretta legata alla pubblicità del Pandoro Pink Christmas, associato a Chiara Ferragni, che ha erroneamente suggerito ai consumatori che l'acquisto avrebbe contribuito a una donazione all'Ospedale Regina Margherita di Torino, quando in realtà la donazione era stata effettuata precedentemente e non era legata alle vendite effettive del prodotto.

Leggi l'articolo su #IlGiornale nel primo commento ⬇️

#Ferragni #Balocco #Antitrust #pandoro","pfbid02N97XbeNKf3SyeunmXrs3f7C2LR8ifU2hctcgSy7fWxrhFAWJqLgVTZVaJxesmcQsl","Antonella Migotto","https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-1/400729018_10223021650281022_4473838646829321777_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=OmRZMDvHyikAb5dQCU0&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCoSOWr9IvYrrChYz3oez_ZjY1Rs-r8YlvtQcbit1WNrQ&oe=66217F91",,"Spero che  la sanzione vada in beneficenza…"
,,,,,"https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl?comment_id=906431597680576","1","2023-12-15T08:54:27.000Z","760029832834644","https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl","ZmVlZGJhY2s6NzYwMDI5ODMyODM0NjQ0XzkwNjQzMTU5NzY4MDU3Ng==","Y29tbWVudDo3NjAwMjk4MzI4MzQ2NDRfOTA2NDMxNTk3NjgwNTc2","56","323950777458","false","Chiara Ferragni e le sue società hanno ricevuto una sanzione complessiva di oltre un milione di euro dall'Antitrust in relazione all'affare ""Balocco"". Le società Fenice e TBS Crew, gestori dei marchi dell'influencer, sono state multate rispettivamente per 400 mila euro e 675 mila euro, mentre Balocco Industria Dolciaria ha ricevuto una multa di 420 mila euro.

L'accusa riguarda una pratica commerciale scorretta legata alla pubblicità del Pandoro Pink Christmas, associato a Chiara Ferragni, che ha erroneamente suggerito ai consumatori che l'acquisto avrebbe contribuito a una donazione all'Ospedale Regina Margherita di Torino, quando in realtà la donazione era stata effettuata precedentemente e non era legata alle vendite effettive del prodotto.

Leggi l'articolo su #IlGiornale nel primo commento ⬇️

#Ferragni #Balocco #Antitrust #pandoro","pfbid0psu1TWs66eLuDu13KfnE2nusUPJ8QoDgqtuMKaRwb2cm2fUdQGXa11JrCQYn5Cayl","Rosa Fiore","https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-1/419217072_3743805069239855_6108370502541020198_n.jpg?stp=c0.0.32.32a_cp0_dst-jpg_p32x32&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=basEMYZY6koAb59C2xl&_nc_ht=scontent-dfw5-1.xx&oh=00_AfATUXuxUf-Vef0I2NKJJ0gZjBXo8DgIVSBPwvQrYKlzTQ&oe=66216EAE","https://www.facebook.com/people/Rosa-Fiore/pfbid0psu1TWs66eLuDu13KfnE2nusUPJ8QoDgqtuMKaRwb2cm2fUdQGXa11JrCQYn5Cayl/","Brava furbetta gesto basso"
,,,,,"https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl?comment_id=1454136231822653",,"2023-12-15T13:17:12.000Z","760029832834644","https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl","ZmVlZGJhY2s6NzYwMDI5ODMyODM0NjQ0XzE0NTQxMzYyMzE4MjI2NTM=","Y29tbWVudDo3NjAwMjk4MzI4MzQ2NDRfMTQ1NDEzNjIzMTgyMjY1Mw==","12","323950777458","false","Chiara Ferragni e le sue società hanno ricevuto una sanzione complessiva di oltre un milione di euro dall'Antitrust in relazione all'affare ""Balocco"". Le società Fenice e TBS Crew, gestori dei marchi dell'influencer, sono state multate rispettivamente per 400 mila euro e 675 mila euro, mentre Balocco Industria Dolciaria ha ricevuto una multa di 420 mila euro.

L'accusa riguarda una pratica commerciale scorretta legata alla pubblicità del Pandoro Pink Christmas, associato a Chiara Ferragni, che ha erroneamente suggerito ai consumatori che l'acquisto avrebbe contribuito a una donazione all'Ospedale Regina Margherita di Torino, quando in realtà la donazione era stata effettuata precedentemente e non era legata alle vendite effettive del prodotto.

Leggi l'articolo su #IlGiornale nel primo commento ⬇️

#Ferragni #Balocco #Antitrust #pandoro","pfbid01RUWdgHAQArQEURGWeeYsXewHHcBZXA22mxFYCrJf6PjWzAvNTbefg6svJQHD4Rjl","Alessandra Caraffini","https://scontent-dfw5-1.xx.fbcdn.net/v/t1.6435-1/74803107_182195956272177_5926626411132485632_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=TpQmJWHlP1sAb7s0K2Z&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDbDBrLtC4VhTFc_QgCUizmkZMF7RCy6jkKjwJjvPWSLw&oe=66432409","https://www.facebook.com/alessandra.caraffini.9","Finalmente!!"
,,,,,"https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl?comment_id=890499262324603",,"2023-12-15T16:02:08.000Z","760029832834644","https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl","ZmVlZGJhY2s6NzYwMDI5ODMyODM0NjQ0Xzg5MDQ5OTI2MjMyNDYwMw==","Y29tbWVudDo3NjAwMjk4MzI4MzQ2NDRfODkwNDk5MjYyMzI0NjAz","11","323950777458","false","Chiara Ferragni e le sue società hanno ricevuto una sanzione complessiva di oltre un milione di euro dall'Antitrust in relazione all'affare ""Balocco"". Le società Fenice e TBS Crew, gestori dei marchi dell'influencer, sono state multate rispettivamente per 400 mila euro e 675 mila euro, mentre Balocco Industria Dolciaria ha ricevuto una multa di 420 mila euro.

L'accusa riguarda una pratica commerciale scorretta legata alla pubblicità del Pandoro Pink Christmas, associato a Chiara Ferragni, che ha erroneamente suggerito ai consumatori che l'acquisto avrebbe contribuito a una donazione all'Ospedale Regina Margherita di Torino, quando in realtà la donazione era stata effettuata precedentemente e non era legata alle vendite effettive del prodotto.

Leggi l'articolo su #IlGiornale nel primo commento ⬇️

#Ferragni #Balocco #Antitrust #pandoro","pfbid02oQvxAcnGPoYrzevwygunWnn1yVBgUjGtDKysdFzkxXwBRc5z2ShC1rxD7wWpZK6Dl","Umberto Farinelli","https://scontent-dfw5-2.xx.fbcdn.net/v/t31.18172-1/13920094_1065166933575674_3590367448270992852_o.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=EjhQmCVbjZgAb665-Io&_nc_ht=scontent-dfw5-2.xx&oh=00_AfAlLYiKtMi96gDM1t0PsM2vqcDvXghOL0YTRaE_F1hqQg&oe=6643280E","https://www.facebook.com/umberto.farinelli","Alla faccia della solidarietà,  la sua..."
,,,,,"https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl?comment_id=386212903839864",,"2023-12-15T12:58:11.000Z","760029832834644","https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl","ZmVlZGJhY2s6NzYwMDI5ODMyODM0NjQ0XzM4NjIxMjkwMzgzOTg2NA==","Y29tbWVudDo3NjAwMjk4MzI4MzQ2NDRfMzg2MjEyOTAzODM5ODY0","5","323950777458","false","Chiara Ferragni e le sue società hanno ricevuto una sanzione complessiva di oltre un milione di euro dall'Antitrust in relazione all'affare ""Balocco"". Le società Fenice e TBS Crew, gestori dei marchi dell'influencer, sono state multate rispettivamente per 400 mila euro e 675 mila euro, mentre Balocco Industria Dolciaria ha ricevuto una multa di 420 mila euro.

L'accusa riguarda una pratica commerciale scorretta legata alla pubblicità del Pandoro Pink Christmas, associato a Chiara Ferragni, che ha erroneamente suggerito ai consumatori che l'acquisto avrebbe contribuito a una donazione all'Ospedale Regina Margherita di Torino, quando in realtà la donazione era stata effettuata precedentemente e non era legata alle vendite effettive del prodotto.

Leggi l'articolo su #IlGiornale nel primo commento ⬇️

#Ferragni #Balocco #Antitrust #pandoro","pfbid04kZMRzehkrihxkEptt4UkSWKcNoK7zYoy1sRTviTr8yjJyYwT83rbU2dYni39mifl","Paola Rossi","https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-1/368355691_288216467151772_7473280051997834610_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=OqomNwdaTZ0Ab5a5i9K&_nc_ht=scontent-dfw5-1.xx&oh=00_AfArYvI9DpRmHUMc33nlWLUgbyMOrH2_Cpgk4-_qA6ctOQ&oe=66216DC1","https://www.facebook.com/people/Paola-Rossi/pfbid04kZMRzehkrihxkEptt4UkSWKcNoK7zYoy1sRTviTr8yjJyYwT83rbU2dYni39mifl/","Alla faccia della beneficenza.  Complementoni cari Ferragnez"
,,,,,"https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl?comment_id=876820920695392",,"2023-12-15T09:22:11.000Z","760029832834644","https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl","ZmVlZGJhY2s6NzYwMDI5ODMyODM0NjQ0Xzg3NjgyMDkyMDY5NTM5Mg==","Y29tbWVudDo3NjAwMjk4MzI4MzQ2NDRfODc2ODIwOTIwNjk1Mzky","13","323950777458","false","Chiara Ferragni e le sue società hanno ricevuto una sanzione complessiva di oltre un milione di euro dall'Antitrust in relazione all'affare ""Balocco"". Le società Fenice e TBS Crew, gestori dei marchi dell'influencer, sono state multate rispettivamente per 400 mila euro e 675 mila euro, mentre Balocco Industria Dolciaria ha ricevuto una multa di 420 mila euro.

L'accusa riguarda una pratica commerciale scorretta legata alla pubblicità del Pandoro Pink Christmas, associato a Chiara Ferragni, che ha erroneamente suggerito ai consumatori che l'acquisto avrebbe contribuito a una donazione all'Ospedale Regina Margherita di Torino, quando in realtà la donazione era stata effettuata precedentemente e non era legata alle vendite effettive del prodotto.

Leggi l'articolo su #IlGiornale nel primo commento ⬇️

#Ferragni #Balocco #Antitrust #pandoro","pfbid09v83u9Xc7hTyRK1naTNsafh2YB11iPyAx1A2sLArQjD3NNo683VVeAJ4i6BVdQQXl","Anna Marturano","https://scontent-dfw5-2.xx.fbcdn.net/v/t1.18169-1/1972495_10201576225064227_338330898_n.jpg?stp=c2.0.32.32a_cp0_dst-jpg_p32x32&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=tN9ZRJZH1m4Ab7v2SR5&_nc_ht=scontent-dfw5-2.xx&oh=00_AfCGeHB6xkloBc7IrwLnZsAbRAmz7UqGKN0udTMRqorGqg&oe=6643246D",,"Brava Chiara e tutti i suoi seguaci"
,,,,,"https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl?comment_id=1605791240160505",,"2023-12-15T09:29:41.000Z","760029832834644","https://www.facebook.com/ilGiornale/posts/pfbid02P3yE1GP3JyXXy3Q9HedeVHJYeuP8XQ23W59mBo7BwxeW73rG1w66qcXz7ntMFvEnl","ZmVlZGJhY2s6NzYwMDI5ODMyODM0NjQ0XzE2MDU3OTEyNDAxNjA1MDU=","Y29tbWVudDo3NjAwMjk4MzI4MzQ2NDRfMTYwNTc5MTI0MDE2MDUwNQ==","10","323950777458","false","Chiara Ferragni e le sue società hanno ricevuto una sanzione complessiva di oltre un milione di euro dall'Antitrust in relazione all'affare ""Balocco"". Le società Fenice e TBS Crew, gestori dei marchi dell'influencer, sono state multate rispettivamente per 400 mila euro e 675 mila euro, mentre Balocco Industria Dolciaria ha ricevuto una multa di 420 mila euro.

L'accusa riguarda una pratica commerciale scorretta legata alla pubblicità del Pandoro Pink Christmas, associato a Chiara Ferragni, che ha erroneamente suggerito ai consumatori che l'acquisto avrebbe contribuito a una donazione all'Ospedale Regina Margherita di Torino, quando in realtà la donazione era stata effettuata precedentemente e non era legata alle vendite effettive del prodotto.

Leggi l'articolo su #IlGiornale nel primo commento ⬇️

#Ferragni #Balocco #Antitrust #pandoro","pfbid0TgxSC8UJzbxNWrFHgVy4orB9MHxwPGMv7FKEnf7EgBQy1dXXDXAYRF5L8REopdQgl","Cristina Durante","https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-1/436465062_7882564901806421_3319854566779253653_n.jpg?stp=c0.5.32.32a_cp0_dst-jpg_p32x32&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=WYlBRJy4DL4Ab7WYV-0&_nc_ht=scontent-dfw5-1.xx&oh=00_AfBE8-19W-D8lHh_vQTYlLF96Pcn9xTzeSnFTgPr3iICmg&oe=6621818C",,"Sarà  sicuramente riassunta per i prossimi spot!!!😉"
