date_of_post,Comment,sentiment
2023-09-27,💙💖,Positive
2023-09-27,❤️,Positive
2023-09-27,💖,Positive
2023-09-27,😍❤️😍❤️ che amori,Positive
2023-09-27,Sono due teneroni😍😍,Positive
2023-09-27,💓,Positive
2023-09-27,darjen_giuse ...ma poi la fortuna li assiste e non riescono a imitarli,Negative
2023-09-27,Que tierno los dos me encanta chicos cuídense uno a otros 🫶🙏✨🍀🌸💋♥️🌹🌹💎💫👍🫶👏👏👏👏🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🕊🕊🕊🕊,Positive
2023-09-27,Dai famiglia ....dai !!! 😍,Positive
2023-09-27,"Che amore questi due bimbi, coccolosi e coccolati. L' importanza del bene che date lo trasmettete a loro. Bravi❤️",Positive
2023-09-27,❤️,Positive
2023-09-27,😍,Positive
2023-09-27,😍,Positive
2023-09-27,Ma che belli che dono👏👏👏❤️❤️❤️❤️,Positive
2023-09-27,❤️,Positive
2023-09-27,😍,Positive
2023-09-27,❤️,Positive
2023-09-27,❤️❤️❤️,Positive
2023-09-27,❤️,Positive
2023-09-27,Bellissimi ❤️,Positive
2023-09-27,❤️❤️❤️,Positive
2023-09-27,❤️❤️,Positive
2023-09-27,"La mia stessa scuola🥹🥹 aveva un altro nome l'istituto.....che emozione rivedere le ""colonne'. Un posto felice bimbi belli❤️❤️❤️❤️❤️",Positive
2023-09-27,Forza  chiara❤️🍀,Positive
2023-09-27,darjen_giuse non hai capito il mio commento. I fortunati sono chi non riesce a imitare queste nullit* che voi esaltate tanto,Negative
2023-09-27,"Meraviglia, un abbraccio forte e auguri di pronta guarigione a Federico ❤️",Positive
2023-09-27,darjen_giuse in realtà non dovresti giustificarti. Ognuno esprime la propria opinione condivisibile o meno. Ho trovato esagerato dire che ci sia qualcuno che voglia imitare il nulla più assoluto,Neutral
2023-09-27,Bimbi belli 💞,Positive
2023-09-27,😍,Positive
2023-09-27,Ma che belli.!!!,Positive
2023-09-27,😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,Negative
2023-09-27,😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,Negative
2023-09-27,😍😍😍😍😍😍❤️❤️❤️❤️,Positive
2023-09-27,❤️,Positive
2023-09-27,❤️❤️❤️❤️❤️❤️,Positive
2023-09-27,What are beautiful picture ❤️❤️❤️,Positive
2023-09-27,Che teneri😍😍😍❤❤🤗,Positive
2023-09-27,Ovviamente è una scuola extralusso,Neutral
2023-09-27,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Positive
2023-09-27,❤️,Positive
2023-09-27,❤️❤️❤️,Positive
2023-09-27,Che tesori teneri💖💙,Positive
2023-09-27,❤️,Positive
2023-09-27,Leo es un niño especial ❤️,Positive
2023-09-27,Belli piccolini. 👏👏👏👏❤️❤️,Positive
2023-09-27,i miei bambini preferiti ❤️,Positive
2023-09-27,❤️❤️,Positive
2023-09-27,❤️❤️,Positive
2023-09-27,👏,Positive
2023-09-27,❤️❤️❤️,Positive
2023-09-27,Preciosossss,Positive
2023-09-27,❤️❤️❤️,Positive
2023-09-27,"Amore la Vitto tutta punta dalle zanzare, ciccina. 😍",Positive
2023-09-27,E una bella famiglia,Positive
2023-09-27,😍,Positive
2023-09-27,❤️❤️,Positive
2023-09-27,❤️❤️❤️,Positive
2023-09-27,🙌❤️,Positive
2023-09-27,❤️,Positive
2023-09-27,Hello,Positive
2023-09-27,buona scuola a tutti i bimbi del mondo!,Positive
2023-09-27,Tenés dos tesoros de hijos!!!💖💖💖💖,Positive
2023-09-27,Che amori😍,Positive
2023-09-27,❤️❤️❤️❤️,Positive
2023-09-27,Bellissimi 😍,Positive
2023-09-27,❤️❤️❤️❤️,Positive
2023-09-27,😍😍😍,Positive
2023-09-27,😂😂,Positive
2023-09-27,Siete bellissimi ❤️❤️,Positive
2023-09-27,"Che tenerezza, sono dolcissimi... un abbraccio a tutti voi ❤️",Positive
2023-09-27,😍😍❤️,Positive
2023-09-27,Bellissimii❤️❤️❤️,Positive
2023-09-27,🥰🥰🥰🥰,Positive
2023-09-27,Bellissimi❤️❤️❤️,Positive
2023-09-27,"Si ma accannatevi ,si può rispondere con educazione:)",Positive
2023-09-27,Se i bimbi sono meraviglioso è perché i genitori non sono da meno. ❤️,Positive
2023-09-27,❤️❤️,Positive
2023-09-27,❤️❤️❤️,Positive
2023-09-27,❤️❤️,Positive
2023-09-27,😍😍😍,Positive
2023-09-27,❤️,Positive
2023-09-27,Che belli che sono completamente ai genitori ❤️,Positive
2023-09-27,Che tenerini,Positive
2023-10-25,Ragazzi mi piacete❤️❤️❤️❤️,Positive
2023-10-25,,Positive
2023-10-25,Have a great day,Positive
2023-10-25,Ee basta mostrarvi si sei una bella ghocca basta!!,Negative
2023-10-25,❤️❤️,Positive
2023-10-25,Look bellissimo Chiara ❤️,Positive
