date_of_post,Comment,sentiment
2023-11-18,❤️❤️❤️❤️,Positive
2023-09-27,Leo es un niño especial ❤️,Positive
2023-12-14,E sti  CA....I  della bambina dolcissima?? Che I suoi non si possono toccare ma lei lucra su quelli degli  altri?? Troppo  comodo .. me ne strafrego della figlia,Negative
2023-10-25,Semplicemente  meravigliose,Positive
2024-03-23,Io vorrei vedere quanti genitori modello ci sono qui che hanno da insegnare agli altri....mah,Neutral
2023-10-25,Quanto siete belle 😍,Positive
2023-12-18,"Os seguía por los niños, me encantabais como familia. Siento decepción total total y por eso dejo de seguiros, aprovecharos de niños enfermos... Bloqueais los comentarios, no hace falta decir nada más",Negative
2023-10-25,😍😍😍😍😍😍😍😍😍,Positive
2023-11-18,Wow,Positive
2024-03-04,Mi dispiace perché sembravi una brava persona..ora non riesci più a parlare senza i tuoi esperti suggeritori..fraintesa? Chiudiamola qui. Sei figlia dei soldi e il tuo valore sarà sempre in rapporto a quelli.,Negative
