,,Name,Username,"Profile ID",Date,Likes,Comment,"Comment ID","Profile URL","Comment URL"
1,,auroranobetti,,10724570058,"2024-01-20 11:11:58",0,"Brava attrice",18000761300175480,https://www.instagram.com/auroranobetti/,https://www.instagram.com/p/C0_wGLQIKPK/c/18000761300175480
2,,trbojeviczorana,,4221821848,"2024-01-20 11:16:10",0,"@betina_noseto Non mi conosci. Sicuro che lo farei!",18008209259260718,https://www.instagram.com/trbojeviczorana/,https://www.instagram.com/p/C0_wGLQIKPK/c/18008209259260718
3,,randazzo_010,,32806494844,"2024-01-20 11:29:18",0,"@martinacasati00 non è codardia, credo che nonostante la notorietà e il guaio successo, insultare una persona pesantemente sotto dei semplici post sia da CODARDI e da persone che non hanno un buon cuore e non pensano che dietro lo schermo C’È UNA PERSONA, UNA MAMMA E DEI BAMBINI!!!!",18046898851596883,https://www.instagram.com/randazzo_010/,https://www.instagram.com/p/C0_wGLQIKPK/c/18046898851596883
4,,randazzo_010,,32806494844,"2024-01-20 11:32:32",0,"Vorrei vedere te, con una famiglia a carico e una sensibilità notevole a dover sentirti massacrata GIORNALMENTE da persone, giornalisti, media e governo! Per quanto una persona possa aver sbagliato (ed esiste la legge per rimediare, nessuno sa veramente com’è andata) è ingiusto dover far fronte a tutto questo odio da soli.",18243733090244164,https://www.instagram.com/randazzo_010/,https://www.instagram.com/p/C0_wGLQIKPK/c/18243733090244164
5,,jennyalvarezherrera,,3815104363,"2024-01-20 11:33:41",0,"Mucha fuerza 🙏🙏🙏🙏 todo saldrá bien ya verás, las buenas intenciones Dios las premia ❤️",17854673988088127,https://www.instagram.com/jennyalvarezherrera/,https://www.instagram.com/p/C0_wGLQIKPK/c/17854673988088127
6,,antoniovolpee,,1050878631,"2024-01-20 11:52:24",0,🤡,17997604037220074,https://www.instagram.com/antoniovolpee/,https://www.instagram.com/p/C0_wGLQIKPK/c/17997604037220074
7,,denise.mayer.908,,7855817866,"2024-01-20 12:00:32",0,"@cristina_a_magalhaes eu tbm",18279602341081761,https://www.instagram.com/denise.mayer.908/,https://www.instagram.com/p/C0_wGLQIKPK/c/18279602341081761
8,,onlyxmar,,7084434947,"2024-01-20 12:14:09",0,"quanti moralisti sotto ai suoi post. capita a tutti di sbagliare e ci sono persone che commettono danni molto più grandi. non trattatela come se voi foste perfetti, almeno lei ha avuto il buon senso di scusarsi",18091069750400923,https://www.instagram.com/onlyxmar/,https://www.instagram.com/p/C0_wGLQIKPK/c/18091069750400923
9,,felciaio,,4893737395,"2024-01-20 12:15:40",0,"Secondo me il più grosso errore che hai fatto , è quello di non aver investito, una parte degli incassi in un bel paio di puppe . Con una terza , saresti perfetta.",17985568553413065,https://www.instagram.com/felciaio/,https://www.instagram.com/p/C0_wGLQIKPK/c/17985568553413065
10,,itsxbabyxyoda,,49379570274,"2024-01-20 12:25:09",0,"@martinacasati00 😂",17997880598421378,https://www.instagram.com/itsxbabyxyoda/,https://www.instagram.com/p/C0_wGLQIKPK/c/17997880598421378
11,,abbiglow,,1990418173,"2024-01-20 14:37:02",0,"Stolen money new house. SO SAD!",18003141176121067,https://www.instagram.com/abbiglow/,https://www.instagram.com/p/C0_wGLQIKPK/c/18003141176121067
12,,my_first_name_is_free_dom,,1706513397,"2024-01-20 14:40:51",0,"Ha fatto benissimo. Alle persone che scrivono solo cose stupide e cattive che si credono perfetti! Non dev’essere data la possibilità di esprimersi.
P.S si scrivo male sono straniera.",17909469461810460,https://www.instagram.com/my_first_name_is_free_dom/,https://www.instagram.com/p/C0_wGLQIKPK/c/17909469461810460
